,original,paraphrase
204,6767 Javni zavod Kobilarna Lipica,6767 Javni zavod Kobilarne Lipica
205,Obrazložitev,Obrazložitev za
206,Del sredstev je namenjen za izvedbo pilotskega projekta razvoja in uvajanja integrirane pridelave vrtnin ter za izvedbo letnega programa genske banke kmetijskih rastlin in genske banke v živinoreji. ,Del sredstev je namenjen za izvedbo pilotnega projekta za razvoj in uvedbo integrirane pridelave zelenjave ter za izvedbo letnega programa genske banke kmetijskih rastlin in genske banke v živinoreji.
207,"5. Uvajajo se ukrepi, ki so neposredno povezani s prilagajanjem na EU, kot so izdelava katastra trajnih nasadov, sofinanciranje programov PHARE, priprava informatizacijskega sistema v kmetijstvu (vzpostavitev baz podatkov) itn.","(5) Uvajajo se ukrepi, ki so neposredno povezani s prilagajanjem v EU, kot so vzpostavitev registra trajnih nasadov, sofinanciranje programov PHARE, vzpostavitev informacijskega sistema v kmetijstvu (vzpostavitev podatkovnih zbirk) itd."
208,UREDITEV PAŠNIKA,Prilagoditev pločnika
209,"Samo 42 let po letu 1000 je Hema Brežeselska podarila škofiji Krka na Koroškem ogromno posest med reko Sotlo in potokom Dramlje in vse tja do Svetih gora na severu. V dvanajstem stoletju so ta del Bizeljskega poimenovali v Wiesel in šele nekoliko pozneje v Wissel, današnje Bizeljsko. Bizeljski grad so zgradili leta 1404, srednjeveško župno cerkev sv. Lovrenca nekoliko pozneje, vendar so jo v letih 1725 do 1737 že prezidali. Bizeljsko spada med bogate zakladnice našega kulturno-zgodovinskega izročila in naravnih znamenitosti. ","Samo 42 let po letu 1000 je Hema Brežeselska škofiji Krki na Koroškem podarila ogromno posestvo med reko Sotlo in potokom Dramlje ter vse do Svetih gora na severu. V dvanajstem stoletju je ta del Bizeljskega dobil ime Wiesel, šele nekoliko kasneje pa v Wisslu, današnjem Bizeljskem. Grad Bizelj je bil zgrajen leta 1404, srednjeveška župnijska cerkev sv. Lovrenca malo kasneje, obnovljena pa je bila že med letoma 1725 in 1737. Bizeljsko je eden od bogatih zakladov naše kulturno-zgodovinske tradicije in naravnih znamenitosti."
210,"Ob Florjanovi kapelici je bila še do nedavnega prava borza dela. K njej so prihajali fantje in možje, dekleta in žene, pa tudi cele družine iz bližnje in daljne okolice z motikami na ramah in upanjem, da bodo vinogradniki prav njih najeli za delo in jim omogočili tisti borni zaslužek, ki jim je mnogim pomenil tudi preživetje. ","Do nedavnega je bila Florjanska kapela prava izmenjava dela, s fanti in moškimi, dekleti in ženami, pa tudi s celimi družinami iz okolice, z motikami na ramenih in upanjem, da jih bodo vinogradniki najeli za delo in zagotovili boren dohodek, ki je pomenil preživetje za mnoge."
211,"Pred sto dvajsetimi leti je trsna uš zelo razredčila vinograde na Bizeljskem, spravila na beraško palico veliko domačinov, še več pa na rob obupa, le volje in ljubezni do vinske trte jim ni nikoli načela. Marija Sušnikova pa je dodala: »Naj bo domačin ali priseljenec na Bizeljskem, če moški nima vinograda in svojega vinskega hrama, v očeh domačinov ne pomeni ničesar. Lahko ima posestvo, veliko živine, hišo na morju in sodoben avto, za prestiž je vse to premalo. Prostor za shranjevanje vina bi lahko imenovali shramba ali klet, kot na primer za žito žitnica. Za sveto mesto je ime hram - tempelj komaj dovolj dobro. Hram je posvečen kraj, čaščen daleč pred vsem drugim, kar je na zunaj lepo vidno še iz časov, ko so se brune na roko tesale s cimeroko. Na nobenem poslopju niso bila tesarska dela opravljena tako kakovostno. Vhod v hram so krasila najlepše izdelana vhodna vrata, tudi sončna imenovana, z vklesano letnico izdelave na tramu, okrašenem z ornamenti. Tudi ostrešek ali pročelje je bilo z okraski usklajeno z ostalimi zunanjimi deli. Na mogočni, iz železa kovan ključ, ki ga je gospodar ponosno nosil za pasom, je bilo usmerjenih veliko zavistnih pogledov. Lastniki skromnejših hramov so si dali izdelati večje ključavnice in še lepše kovane ključe, zaradi bahanja pred tujci. Kaj je lahko lepšega kot posedeti s svojimi prijatelji in znanci v svojem hramu na griču in točiti s svojimi žulji pridelano žlahtno kapljico?«","Pred stotimi in dvajsetimi leti je filoksera močno razredčila vinograde na Bizeljskem, kar je številne domačine pripeljalo na rob prosjačenja, še bolj pa na rob obupa, le volja in ljubezen do trte jim nista bili nikoli izgubljeni. Marija Sušnikova je dodala: ""Bodite domačin ali imigrant na Bizeljskem, če človek nima vinograda in svojega vinskega hrama, to v očeh domačinov ne pomeni nič. Lahko ima posestvo, veliko živine, hišo na morju in sodoben avtomobil, vse to pa je premalo za prestiž. Za sveto mesto, ime templja je komaj dovolj dober. Tempelj je posvečen kraj, častili daleč pred vsem drugim, ki jih je mogoče videti na površini od časov, ko so bili leseni tramovi, ki so ročno izrezljane s cymerocas. Nobena stavba je kdaj imel mizarstvo opravljeno tako dobro. Vhod v tempelj je bila okrašena z najlepšimi vhodnih vrat, tudi s sončnim imenom, z izrezljane leto izdelave na gredi, okrašena z okraski. Streha ali fasada je bila tudi v harmoniji z drugimi zunanjimi dela. Lastniki skromnejših hiš so morali izdelati večje ključavnice in še lepše ponarejene ključe, zaradi razkazovanja pred tujci. Kaj je lahko lepšega kot sedeti s prijatelji in znanci v templju na hribu in se polivati s svojimi mehurji, ki jih proizvaja plemenita kapljica? """
212,"Število prebivalcev na Bizeljskem, pravi gospa Sušnikova, domačinka in dobra poznavalka razmer na Bizeljskem, nenehno pada. Na svoji zemlji so vztrajali le redki, k sreči pa je med njimi največ takih, ki se z ljubeznijo in spoštovanjem do trte ukvarjajo z vinogradništvom. Le dvanajst aktivnih kmečkih družin je še ostalo na Bizeljskem. Številni upokojenci poskrbijo, da je zemlja na Bizeljskem v celoti obdelana. ","Število prebivalcev na Bizeljskem, pravi gospa Sušnikova, domačinka in dobra poznavalka razmer na Bizeljskem, se nenehno zmanjšuje, le nekaj jih je vztrajalo na svoji zemlji, a na srečo se jih večina z ljubeznijo in spoštovanjem do trte ukvarja z vinogradništvom. Na Bizeljskem je ostalo le še dvanajst aktivnih kmečkih družin. Mnogi upokojenci poskrbijo, da je zemlja na Bizeljskem v celoti obdelana."
213,"FURNGE Naj je bilo lepo ali deževno vreme, so bile v vaških kolovozih, saj drugih poti skoraj ni bilo, vedno globoke zareze in kotanje polne vode. Kolovozi so bili vedno ozki, zato se je včasih zdelo, da so hiše in gospodarska poslopja dobesedno stala na njih. Poti in kolovozov ni navadno nihče popravljal. Furmani so se znašali nad živino, ki ni mogla speljati težko naloženih voz z vinom iz globokih kolesnic. Ko ni bilo druge rešitve, so dobili »forajt« z eno volovsko ali konjsko vprego, da so potegnili voz, vdrt iz globoke in blatne kolesnice. (Slika je iz bogate etnografske zbirke Marije Sušnik.)","FURNGE Ne glede na to, ali je bilo lepo ali deževno vreme, so bile v vasi kolovozi, saj drugih stez skoraj ni bilo, vedno globoke zareze in kotanje polne vode. Kolovozi so bili vedno ozki, zato se je včasih zdelo, da na njih dobesedno stojijo hiše in poslovni objekti. Poti in kolovozi običajno niso bili popravljeni. Furmani so stali nad živino, ki ni mogla voziti trdo obremenjenih vagonov z vinom iz globokih kolesnic. Ko ni bilo druge rešitve, so dobili ""pohod"" z enim volom ali konjsko vprego, da bi potegnili voz iz globoke in blatne kolesnice. (slika je iz bogate etnografske zbirke"
214,"Slovenski vinogradniki se pred začetkom spomladanskih del odločajo tudi za obnove, vendar so v vinogradniških društvih upravičeno zaskrbljeni, da jih bo zaradi krize pri prodaji vina bistveno manj kot prejšnja leta. Večino razprave o položaju na slovenskem vinskem trgu so namenili tudi na Švabovem v Halozah, kjer so se zbrali predsedniki slovenskih vinogradniških društev na redni letni skupščini Zveze društev vinogradnikov Vinis.","Slovenski vinogradniki se za prenovo odločijo še pred začetkom pomladi, vendar jih upravičeno skrbi, da bo zaradi krize pri prodaji vina bistveno manj vina kot v preteklih letih. Večji del razprave o razmerah na slovenskem vinskem trgu so namenili tudi Švabovu v Halozah, kjer so se na rednem letnem občnem zboru Društva vinogradnikov Vinis zbrali predsedniki slovenskih vinogradniških društev"
215,"Poklicali smo na Kmetijski inštitut Slovenije in na tehnično službo Petrola, kjer so nam dali podrobna pojasnila. Ob uporabi osvinčenega 98 oktanskega bencina v žagah in motokultivatorju ne more priti do okvare motorjev. Lahko se pojavijo težave s predvžigom, kar je mogoče rešiti z njegovo nastavitvijo. Na Petrolu opozarjajo, da velja v motornih žagah, ki so znane po visokih vrtljajih motorja, za pripravo mešanice v razmerju, ki ga predpisuje proizvajalec, uporabljati visokokakovostna olja, o katerih ga bodo podučili na vseh Petrolovih servisih po Sloveniji. Seveda lahko za pripravo mešanice na enak način uporablja tudi nizkooktanski zeleni bencin, ki je okolju in zdravju uporabnika prijaznejši, pa še cenejši je. Tudi za pogon motokultivatorja lahko uporablja nizkooktanski zeleni bencin, vendar mora pred tem pogledati še v navodila za uporabo. Če ima motor mehka ležišča ventilov (japonski motorji jih imajo že približno 20 let), potem bo ta brez škode tekel le na zeleni bencin. Če pa ima še trda ležišča, velja v rezervoar vlivati nizkooktanski zeleni bencin in osvinčen 98 oktanski bencin v razmerju 2 : 1 (2/3 zelenega + 1/3 osvinčenega). ","Poklicali smo Kmetijski inštitut Slovenije in Petrolovo tehnično službo, kjer so nam podali podrobna pojasnila. Pri uporabi osvinčenega 98-oktanskega bencina v žagah in motokultivatorju ne more priti do okvare motorja. Pojavijo se lahko težave s predvžigom, ki jih je mogoče rešiti z nastavitvijo. Petrol opozarja, da se v motornih žagah uporabljajo visokokakovostna olja, ki so znana po svojih visokih hitrostih, da se zmes pripravi v razmerju, ki ga predpiše proizvajalec, in da jo bodo učili na vseh Petrolovih bencinskih servisih v Sloveniji. Nizkooktanski zeleni bencin, ki je bolj okolju in zdravju prijazen, se lahko uporablja tudi za pripravo mešanice na enak način, in je še cenejši. Nizkooktanski zeleni bencin se lahko uporablja tudi za pogon motorjakultivatorja, vendar pred tem, je treba pogledati tudi v navodila za uporabo. Če ima motor mehke ležaje ventilov (Japonski motorji jih imajo približno 20 let, potem bo deloval samo na zeleni bencin brez škode. Če ima še vedno trda ležišča, nizkooktanski zeleni bencin in osvinčeni 98 oktanski bencin v razmerju 2 1: 1 (2 / 3 zelena + 1 / 3 osvinčeni)"
216,KDO ZASTOPA TRAKTORJE BELARUS IN VLADIMIREC,Kdo prejme Belarous in Vladimir traktorjev
217,Kdaj in kako cepimo orehe?,Kdaj in kako cepiti orehe?
218,"Mag. Anita Solar, ",mag. Anita Solar.
219,"Vprašanje naslavljamo na Toneta Ropa, ministra za delo, družino in socialne zadeve RS. ","Vprašanje je naslovljeno na Toneta Ropa, ministra za delo, družino in socialne zadeve Republike Slovenije."
220,"Prav tako tudi Zakon o zemljiški knjigi (Ur. l. RS, št. 33/95) v 129. členu v zvezi s 137. členom določa, da se odpis parcele ali dela parcele, ki je do uveljavitve tega zakona že bila uporabljena za gradnjo ali rekonstrukcijo ceste ali regulacijo vodnih tokov, ter njen vpis v vložek, v katerem je vpisan ta objekt, opravi brez predložitve listin, predpisanih s tem zakonom. ","Podobno tudi Zakon o zemljiški knjigi (Uradni list RS, št. 33 / 95) v 129. členu v povezavi s 137. členom določa, da se odpis parcele ali dela parcele, ki se je do uveljavitve tega zakona uporabljal za gradnjo ali rekonstrukcijo ceste ali ureditev vodnih tokov, in njegov vpis v spis, v katerem je ta objekt vpisan, izvedeta tako, da se opravi vpis zemljišča ali dela parcele, ki se je uporabljal za gradnjo ali rekonstrukcijo ceste ali ureditev vodnih tokov"
221,Ministrstvo za pravosodje,Ministrstvo za pravosodje
222,"Poletja 1998 se bomo še dolgo spominjali, saj je skupaj s poletjem 1994 doseglo temperaturni rekord tega stoletja s povprečno temperaturo 21,3 stopinje (normalna je 18,9 stopinje) in 33 vročimi dnevi s temperaturo 30 stopinj in več. Lepi spomini v tem mrzlem in zasneženem februarju!","Poletje 1998 se bo še dolgo spominjalo, saj je skupaj s poletjem 1994 dosegel temperaturni rekord tega stoletja s povprečno temperaturo 21,3 stopinj (normalno je 18,9 stopinj) in 33 vročih dni s temperaturo 30 stopinj in več."
223,SLOVENIJA E-mail: wravorŽwravor.si,: Slovenija elektronska pošta wravorŽwravor.si
224,* HORIZONTALNE TRAČNE ŽAGE,Logični signal za promet
0,"INFORMACIJA št. 14, nedelja, 14. septembra","INFORMACIJE št 14, nedelja, 14 september"
1,11.15 - Razgovor predstavnikov dežele Saška Anhalt pri generalnem sekretarju OZS (Protokolarni prostor OZS);,11.15 - Intervju predstavnikov dežele Saška-Anhalt z generalnim sekretarjem OZS (Protokolni prostor OZS);
2,14. - Srečanje Združenja podjetnikov Slovenije (Mala kongresna dvorana);,14. - Srečanje Združenja podjetnikov Slovenije (mala kongresna dvorana)
3,18. - Srečanje s slovenskimi vini (Celjanka);,18. - Srečanje s slovenskimi vini (Celanka)
0,"Novi zakon usklajuje slovensko zakonodajo na področju zasebnega varovanja s predpisi Evropske unije in tako zagotavlja njeno pripravljenost za članstvo v Evropski uniji. Tako je določena ureditev treh temeljnih svobod oziroma načel, ki bodo po majskem vstopu v EU zavezujoča tudi za našo državo, pravica do prostega gibanja delavcev, pravica do svobodnega ustanavljanja sedeža podjetij in pravica do svobodnega opravljanja storitev. Posledično je (oziroma bo po vstopu v EU) ukinjen pogoj, da morajo biti zasebni varnostniki državljani Slovenije, saj bodo lahko poslej to delo opravljali državljani vseh članic EU, prav tako pa bodo varnostno službo pri nas ponujala vsa tovrstna tuja podjetja iz Unije. Verjetno bomo tudi na tem področju priče vstopu uveljavljenih tujih družb na naš trg.","Novi zakon usklajuje slovensko zakonodajo na področju zasebnega varovanja s predpisi Evropske unije, s čimer zagotavlja njeno pripravljenost za članstvo v Evropski uniji. Tako bo ureditev treh temeljnih svoboščin oziroma načel, ki bodo za našo državo zavezujoča po majskem vstopu v EU, pravica do prostega gibanja delavcev, pravica do prostega ustanavljanja podjetij in pravica do svobodnega opravljanja storitev. S tem bo pogoj, da morajo biti zasebni varnostniki državljani Slovenije, saj bodo odslej to delo lahko opravljali državljani vseh držav članic EU, varnostno službo pa bodo ponujala tudi vsa tuja podjetja iz Unije."
1,Romana Špende,Romana Špende
2,(Bizilj/L. Cjuha,Bisel / L. Cjuha
3,"Takšno hrvaško stališče zahteva tudi od slovenske strani nov razmislek. Naj najprej priznam, da se mi zdi pametno, da je slovenska zunanja politika doslej vztrajala pri stališču, da je, ne glede na vse, sporazum med Račanom in Drnovškom dobro izhodišče za urejanje mejnih vprašanj. S tem je namreč Ljubljana dala sosednji državi, pa tudi širši mednarodni skupnosti, nedvoumno vedeti, da je Zagreb tisti, ki se ni sposoben pogajati in držati dane besede, s čimer smo si krepili tudi pozicijo pri morebitni arbitraži, saj smo nasprotni strani zniževali mednarodno verodostojnost, ki jo je sama še dodatno načela z enostransko razglasitvijo izključne morske ekonomske cone.","Naj najprej priznam, da se mi zdi modro, da je slovenska zunanja politika doslej vztrajala pri stališču, da je ne glede na vse sporazum med Račanom in Drnovškom dobro izhodišče za ureditev mejnih vprašanj. S tem je Ljubljana sosednji državi, pa tudi širši mednarodni skupnosti, dala nedvoumno idejo, da je Zagreb tisti, ki se ne more pogajati in držati besede, s čimer smo okrepili svoj položaj v morebitni arbitraži, saj smo zmanjšali mednarodno verodostojnost nasprotne strani, ki jo je še dodatno dvignila z enostransko razglasitvijo izključne pomorske ekonomske cone."
4,"Premier Ivo Sanader za svoj prvi zunanjepolitični obisk ni po naključju izbral Vatikana in desetminutnega pogovora na samem v italijanščini s papežem Janezom Pavlom II. Papež je podprl hrvaško približevanje Evropski uniji. Ivo Sanader nadaljuje zunanjepolitično dejavnost z obiskom v Berlinu, kjer se bo pogovarjal z irskim, turškim in romunskim premierom ter slovenskim in poljskim predsednikom. Iz Berlina se bo odpravil v Bruselj na srečanje s predsednikom Evropske komisije Romanom Prodijem. Obiskal bo še Strasbourg.","Predsednik vlade Ivo Sanader ni pomotoma izbral Vatikana za svoj prvi zunanjepolitični obisk in desetminutni zasebni pogovor v italijanščini s papežem Janezom Pavlom II. Papež je podprl približevanje Hrvaške Evropski uniji. Ivo Sanader nadaljuje svoje zunanjepolitično delovanje z obiskom v Berlinu, kjer se bo pogovarjal z irskim, turškim in romunskim predsednikom vlade ter slovenskim in poljskim predsednikom. Iz Berlina bo odpotoval v Bruselj, kjer se bo srečal s predsednikom Evropske komisije Romanom Prodijem."
5,Podpisan sporazum o odškodninah,Podpisan sporazum o odškodnini
6,"Po mnenju strokovnjaka beograjskega inštituta za ekonomske vede Stojana Stamenkovića bi bila koncentracijska vlada nevarna. Če pa bi Koštuničevi demokrati sestavili vlado s Šešljevimi radikalci, bi to pomenilo izgubljeno leto, Srbija pa bi se znašla v sicer neformalni, vendar dovolj učinkoviti osamitvi, je še prepričan Stojan Stamenković. Meni tudi, da niti vlada štirih demokratičnih strank ne bi mogla sprejeti proračuna prej ko v drugi polovici leta, kar bi pomenilo zmanjšanje naložb. K temu velja dodati, da nobena stranka, razen morda demokrati umorjenega srbskega premiera Zorana Djindjića, ki jih zdaj vodi Boris Tadić, in G17 plus, nima izdelanega gospodarskega programa, ki bi Srbijo popeljal v razviti svet.","Po mnenju strokovnjaka Beograjskega inštituta za ekonomske vede Stojana Stamenkovića bi bila koncentracijska vlada nevarna, če pa bi Kostunski demokrati oblikovali vlado s Šešeljevimi radikalci, bi to pomenilo leto izgube, Srbija pa bi se znašla v neformalni, a dovolj učinkoviti izolaciji, je prepričan Stojan Stamenković. Prepričan je tudi, da vlada štirih demokratičnih strank proračuna ne bi mogla sprejeti prej kot v drugi polovici leta, kar bi pomenilo zmanjšanje naložb. K temu je treba dodati, da nobena stranka, razen morda umorjenega srbskega premiera Zorana Djindjića, ki ga zdaj vodi Boris Tadić, in G17 Plus, nima gospodarskega programa, ki bi Srbijo pripeljal v razvoj sveta."
7,"Vstopila je tudi na druge načine. Podobno kot številni njegovi predhodniki in številni svetovni politiki tudi Bush izkorišča prednosti, ki mu jih daje njegov položaj. Odmevne govore, ki so vedno deležni pozornosti javnosti in medijev, bo tempiral tako, da bo z njimi zasenčil vse drugo dogajanje, predvsem pa predvolilni boj demokratov. Tako bo denimo imel tradicionalni nagovor ljudstvu v torek, 20. januarja, dan po pomembnih uvodnih volitvah demokratskega predsedniškega kandidata v zvezni državi Iowi. Govor o svoji viziji ameriškega vesoljskega programa pa bo imel prihodnji teden, ko bo demokratska predvolilna tekma doživela enega od vrhuncev.","Tako kot mnogi njegovi predhodniki in mnogi svetovni politiki, Bush izkorišča svoj položaj. On bo čas njegove odmevne govore, ki so vedno v središču pozornosti javnosti in medijev, da zasenči vse druge dogodke, in predvsem volilni boj demokratov. Na primer, on bo dal tradicionalni naslov za ljudi v torek, januar 20, dan po pomembnem odprtju volitvah demokratskega predsedniškega kandidata v Iowi. Govoril bo o svoji viziji ameriškega vesoljskega programa naslednji teden, ko bo demokratska volilna tekma doživeli enega od vrhuncev."
8,"Kljub statistično dokazljivi prednosti, ki jo Bushu ponuja dejstvo, da se za Belo hišo poteguje iz Bele hiše, pa prihodnjih deset mesecev predvolilne bitke napoveduje zelo živahno dogajanje. Javnomnenjske raziskave namreč kažejo, da je Amerika politično razklana skoraj na pol, in to morda še bolj, kot je bila v obdobju po spornih volitvah na Floridi leta 2000. To je tudi dokaz, da Bushu ni uspela vsaj ena velika predvolilna obljuba izpred štirih let, namreč da bo državo združil, ne pa razdelil, čeprav je imel po terorističnih napadih na ZDA za to podarjeno priložnost. Vse to pa tudi napoveduje, da letos ne bomo priče kakšnemu predsednikovemu sprehodu skozi volitve, kakršnega je denimo uprizoril Bill Clinton leta 1996 ali Ronald Reagan leta 1984. Prej kot takšen scenarij se Bushu lahko zgodi njegov lastni oče.","Kljub statistično dokazani prednosti, ki jo Bushu nudi dejstvo, da se za Belo hišo poteguje iz Bele hiše, naslednjih deset mesecev predvolilnega boja napoveduje zelo živahne dogodke. Javnomnenjske raziskave kažejo, da je Amerika politično razdeljena skoraj na polovico, morda celo bolj, kot je bila v obdobju po spornih volitvah na Floridi leta 2000. To je tudi dokaz, da Bush pred štirimi leti ni dal vsaj ene velike predvolilne obljube, in sicer, da bo raje združil državo kot jo razdelil, čeprav je imel takšno priložnost po terorističnih napadih na ZDA. Vse to tudi napoveduje, da letos ne bomo priča nobenemu predsednikovemu sprehodu skozi, kot sta bila Bill Clinton leta 1996 ali Ronald Reagan leta 1984."
9,"V prvem dopolnilu je zapisano, da zakonito pridobljene zasebne lastnine ni mogoče okrniti. Zasebno lastnino gre po tem določilu obravnavati kot javno. S tem bodo na Kitajskem svojo ustavo uskladili z življenjem. S komunistično ustavo po zmagi revolucije je bila vsa zasebna lastnina nacionalizirana, ljudje so lahko obdržali v svoji lasti le predmete za osebno uporabo, hiše in stanovanja, ne pa tudi zemlje, celo tiste ne, na kateri je stala njihova hiša. Prav tako niso smeli imeti podjetij, delnic in podobnega. Toda medtem se je zgodilo marsikaj, kar je vplivalo tudi na obravnavanje zasebne lastnine. Pred četrt stoletja je prve spremembe v to smer uveljavil takratni kitajski voditelj Deng Xiaoping. Opuščati je začel togo maoistično zasnovo marksizma in začel uvajati kapitalistične posebnosti. Zaživeli so prvi zasebni podjetniki. Dobro so zaslužili in z denarjem so začeli kupovati nepremičnine, ki po veljavni ustavi pravzaprav niso bile povsem njihove, kar je veljalo tudi za njihova podjetja. Uveljavil se je nekakšen dvojni sistem, kar je ustvarjalo hude težave, škodovalo pa je tudi gospodarstvu in gospodarskemu razvoju.","Prva sprememba navaja, da se zakonito pridobljena zasebna lastnina ne more okrniti. Zasebna lastnina se mora obravnavati kot javna lastnina. Ti bodo tako svojo ustavo uskladili z življenjem na Kitajskem. Po komunistični ustavi je bila po zmagi revolucije vsa zasebna lastnina nacionalizirana, ljudje so lahko obdržali le predmete za osebno uporabo, hiše in stanovanja, ne pa tudi zemljišča, na katerem je stala njihova hiša. Prav tako jim ni bilo dovoljeno imeti lastnih podjetij, delnic in podobno. Pred četrt stoletja je takratni kitajski voditelj Deng Xiaoping naredil prve spremembe v tej smeri. Začel je opuščati togo maoistično zasnovo marksizma in začel uvajati kapitalistične posebnosti. Prvi zasebni podjetniki so zaživeli. Naredili so dober dobiček in začeli kupovati nepremičnine, ki v skladu s sedanjo ustavo niso bile njihova lastnina, kar je veljalo tudi za njihova podjetja. Vzpostavljen je bil nekakšen dualni sistem, ki je ustvarjal resne probleme, prav tako pa je škodoval gospodarstvu in gospodarskemu razvoju."
10,"Večjo socialno in lastninsko prenovo lahko na podeželju pričakujemo šele, ko bo kitajska družba dosegla višjo stopnjo gospodarskega razvoja in postala tako bogata, da bo sposobna prenesti vse družbene posledice sprememb na podeželju.","Večja družbena obnova in obnova lastnine na podeželskih območjih se lahko pričakujeta šele, ko bo kitajska družba dosegla višjo raven gospodarskega razvoja in postala tako bogata, da bo sposobna prenesti poln družbeni vpliv sprememb na podeželju."
11,ZDA naj bi sodelovale pri razvoju evropske satelitske navigacije,ZDA sodelujejo pri razvoju evropske satelitske navigacije
12,"Namestnik ameriškega državnega sekretarja, pristojen za evropske in evrazijske zadeve, Charles Ries, je ob tem dejal, da je bil odgovor EU na omenjeni ameriški predlog pozitiven, vendar še ni jasno, kdaj naj bi Bruselj odgovoril na ponudbo, niti ali bo odgovor pritrdilen.","Charles Ries, namestnik državnega sekretarja za evropske in evrazijske zadeve, je dejal, da se je EU pozitivno odzvala na predlog ZDA, vendar še ni bilo jasno, kdaj se bo Bruselj odzval na ponudbo oziroma ali bo odgovor pritrdilen."
13,"Za pretirano veselje vseh, ki opravljajo individualne intelektualne storitve s področja književnosti, znanosti in umetnosti ter ki opravljajo dela, opredeljena kot avtorska (med njimi tudi novinarska), v podjetjih in institucijah, v katerih so zaposleni, je še veliko prezgodaj. Spet bo trajalo nekaj let, da bo odločba tudi pravnomočna in če bo obveljala odločitev ljubljanskega upravnega sodišča, bo morala davkarija oziroma ministrstvo za finance vsem, ki jim ni priznalo avtorskega dela, ampak so morali zanj plačati enake davke in prispevke kot plače, priznati napako. Davkarije to ne bo drago stalo, saj odločbe ni izvršila. Za tiste, ki jih je doletela takšna odločba in so se nanjo pravočasno pritožili, bo takšna pravnomočna odločba, kot jo zagovarja Upravo sodišče RS, pravi balzam. Denar bodo dobili nazaj z obrestmi vred. Prihodnji prejemniki avtorskih honorarjev (po avtorski pogodbi) pa bodo v delovni organizaciji, kjer so zaposleni, spet lahko dodatno služili.","Za pretirano veselje vseh tistih, ki opravljajo posamezne intelektualne storitve s področja književnosti, znanosti in umetnosti ter ki v podjetjih in ustanovah, v katerih so zaposleni, izvajajo dela, ki so opredeljena kot avtorska (vključno z novinarskimi), je še vedno veliko prezgodaj. Še nekaj let bo trajalo, da bo odločitev dokončna, in če bo odločitev Upravnega sodišča v Ljubljani veljavna, bosta morala davčni urad ali Ministrstvo za finance priznati vsem, ki avtorskega dela niso priznali, so pa morali plačevati enake davke in plače kot zaposleni, napaka. Davki ne bodo dragi, saj odločbe niso izvršili. Za tiste, ki so bili predmet take odločitve in prejemnike, bo takšna končna odločitev, kot jo zagovarja slovenska uprava, dobila povrnjen denar, vključno s stvarnim, in bodo lahko služili kot nadomestilo na podlagi sporazuma o avtorskih pravicah, pri čemer se bodo lahko pritožili na podlagi sporazuma o avtorskih pravicah."
14,"Pokritost uvoza 90,5-odstotna","Pokritost uvoza 90,5%"
15,"Glede na to, da Gorenje že zdaj izvaža izdelke v 72 držav sveta, kupci pa pričakujejo hitre in kakovostno opravljene storitve, je to gotovo prednost, saj bodo odslej naročene izdelke od tod odposlali naravnost do kupcev po vsem svetu in se tako znebili mnogih odvečnih vmesnih skladišč. Naložba, ki za vsa tri vlaganja skupaj presega 50 milijonov evrov, naj bi se jim povrnila v osmih letih. Z najsodobnejšo tehnologijo bodo pri proizvodnji občutno zmanjšali predvsem porabo energije, s tovarno stiropora pa prihranili tudi pri ceni embalaže.","Glede na to, da Gorenje izdelke že izvaža v 72 držav po svetu, kupci pa pričakujejo hitre in kakovostne storitve, je to zagotovo prednost, saj bodo od tu naročene izdelke zdaj pošiljali neposredno kupcem po vsem svetu in se tako znebili številnih odvečnih vmesnih skladišč. Naložba, ki za vse tri naložbe skupaj presega 50 milijonov evrov, naj bi se jim vrnila čez osem let. Najsodobnejša tehnologija bo znatno zmanjšala porabo energije v proizvodnji, tovarna stiropora pa bo tudi prihranila"
