,original,paraphrase,transformer
362,Izkopali že 130 okostij,Izkopanih je bilo 130 okostij.,<pad> Izkopali so že 130 okostij</s>
363,"»Pravila za izdajo dovoljenj so vse strožja. Na upravi smo recimo povezani v svetovno bazo podatkov o poskusih. Če je bil neki poskus nekje že opravljen, zanj ne izdamo dovoljenja,« je povedal mag. Zoran Kovač, direktor veterinarske uprave. Njihova strogost se pozna tudi v praksi: neki stranki niso izdali dovoljenja za opravljanje poskusa, zato se je odločila za tožbo.","""Pravila za izdajo dovoljenj so vse strožja. Na upravi, na primer, smo povezani z globalno bazo podatkov o poskusih. Če je bil eksperiment že izveden nekje, ne izdamo dovoljenja za to,"" je dejal mag. Zoran Kovač, direktor veterinarske uprave. Njihova strogost je znana tudi v praksi: Stranka ni dobila dovoljenja za izvedbo poskusa, zato se je odločila, da bo","<pad> ""Pravila za izdajo dovoljenj so vse strožja. Na upravi smo povezani v svetovno bazo podatkov"
364,Marjeta Šoštarič,Marjeta Šoštarič,<pad> Marjeta Šoštarič</s>
365,"Ljubljana - Na včerajšnji tiskovni konferenci v ministrstvu za šolstvo in šport so predstavili dokončno število vpisnih mest in sklepe o omejitvah vpisa za tercialne študije - za visoko šolstvo je sklepe o tem sprejela vlada na sredini seji, za višje strokovne šole pa je dal soglasja minister dr. Slavko Gaber.","Ljubljana - Na včerajšnji novinarski konferenci na ministrstvu za šolstvo in šport so predstavili končno število vpisnih mest in sklepe o omejitvi vpisa na terciarni študij - za visokošolsko izobraževanje, sklepe je sredi seje sprejela vlada, za višje poklicne šole pa je soglasje dal minister Slavko Gaber.",<pad> Ljubljana - Na včerajšnji tiskovni konferenci v ministrstvu za šolstvo in šport so predstavili končno število vpisnih mest
366,viceguverner BS,namestnik guvernerja BS,<pad> Viceguverner BS</s>
367,"Maribor - Pobuda Slovenske razvojne družbe za ustanovitev konzorcija, ki bi morebiti kupil premoženje delniške družbe Tam v stečaju, je sprožila veliko zanimanje sedanjih najemnikov prostorov, saj se je nanjo odzvalo prek 50 podjetij. Po podatkih stečajnega upravitelja je na območju Tama skupaj 77 najemnikov, ki so prejeli odpovedi in bi morali oditi do 1. maja. Med njimi so tudi družbe MPP, v lasti SRD, ki z zadnjo, na hitro skovano akcijo, rešuje, če se rešiti kaj sploh še da.","Maribor - Pobuda Slovenske razvojne družbe za ustanovitev konzorcija, ki bi morebiti odkupil premoženje delniške družbe Tam v stečaju, je sprožila veliko zanimanje sedanjih najemnikov prostorov, saj se je nanj odzvalo več kot 50 podjetij. Po podatkih stečajnega upravitelja je na območju Tama skupaj 77 najemnikov, ki so prejeli odpovedi in bi morali do 1. maja oditi. Med njimi so tudi podjetja MPP, ki so v lasti SRD, ki so z zadnjimi, hitro","<pad> Maribor - Pobuda Slovenske razvojne družbe za ustanovitev konzorcija, ki bi kupil premoženje delniške družbe Tam"
368,"To delo je bilo uvrščeno v izbor 'Slovenski literarni mejniki XX. stoletja', ",To delo je bilo vključeno v izbor slovenskih literarnih mejnikov 20. stoletja.,"<pad> To delo je bilo uvrščeno v izbor 'Slovenski literarni mejniki XX. stoletja', "
369,"DELO, 30. 12. 1999, Književni listi","DELO, 12 30, 1999, knjižica","<pad> DELO, 30. 12. 1999, Književni listi</s>"
370,»Zakaj si se pa potlej ustavil?«,"""Zakaj si se pa potem ustavil?""","<pad> ""Zakaj si se pa ustavil?""</s>"
371,»Jaz pa moram izobesit zastave.«,"""moram mahati z zastavami.""","<pad> ""Jaz pa moram izobesit zastave.""</s>"
372,"»Ja,« je pritrdil Kolbezen, ampak ne Janu, temveč sebi, tudi on je predel svojo misel in skrb sam zase naprej, »če obesim zastavo brez zvezde, me bo dala nova oblast ob glavo. Če pa obesim zastavo z zvezdo, me bodo dali cerkveni ključarji ob kruh.«","""da,"" je potrdil Kolbezen, vendar ne Jan, ampak zase, je tudi dal svojo misel in svojo skrb na sebi, ""če obesim zastavo brez zvezde, me bo nova oblast postavila na glavo. Če obesim zastavo z zvezdo, mi bo cerkev dala kruh.""","<pad> ""Ja,"" je pritrdil Kolbezen, ampak ne Janu, ampak Janu, tudi on"
373,"»Eh, kaj. Mi Parni pač nismo za politiko. Ti živiš tu v graščini, ti se ubadaj z zastavami, nam tam v parni se ni treba.«","mi Parni nismo za politiko, ti živiš tukaj v graščini, ti imaš opravka z zastavami, mi ne rabimo iti tja v paniki. ""","<pad> ""Eh, kaj, kaj, kaj? Mi Parni nismo za politiko. Ti živi"
374,"No, če bi se moglo še to videti, potem na svetu ne bi bilo več za prestati, je hotel reči Kolbezen, pa se je rajši ugriznil v jezik in rekel, »ja, to je pa tudi res... no, pa dajmo!«","No, če bi bilo še vedno mogoče videti, potem ne bi bilo časa za življenje v svetu, je želel reči Kolbezen!, vendar je ugriznil v jezik in rekel, ""Ja, to je res... dobro, pojdimo""","<pad> No, če bi se moglo še to videti, je rekel Kolbezen, pa se je"
375,"Ko sta pribila Titovo sliko in zastavice nad občinska vrata, sta nad vse to napisala živela svoboda z minijem na zid.","Ko so nad kongregacijska vrata pribili Titovo sliko in zastave, so nad vse to napisali svobodo z minikom na steni.","<pad> Ko sta pribila Titovo sliko in zastavice nad občinska vrata, sta nad vse to napisala"
376,"Dotlej je razen Repovža in Kolbezna le malokdo stopil iz hiše. Kod je kaka dekla s polno golido mleka šla čez dvorišče, drugod je gospodar nesel v škafu vodo konjem v hlev; to jutro ni nihče niti živine napajal zunaj.","Do takrat je, razen Repovža in Kolbezna, le malo ljudi zapustilo hišo. Kot služkinja, ki je šla skozi dvorišče, polno mleka, drugje pa je gospodar odnesel vodo konjem v zaboj; tisto jutro zunaj ni nihče niti nahranil živine.","<pad> Dotlej je bilo le malokdo stopil iz hiše, vendar je bilo to jutro le malokdo"
377,"Medtem ko je to govoril, je Vogaršek položil Sadarjevo levico na tnalo, jo podložil pod komolcem z gladkim okroglim polenom, mu položil čez podlaket železen drog za sajenje fižolovk, se mimogrede prepričal, ali je Sadar res čvrsto stisnil klobaso med zobe, potem pa se je brez poprejšnjega opozorila naglo, sunkovito in z vso močjo obesil na drog. Vogaršek je delal res lepo in obzirno.","Ko je to govoril, je Vogaršek položil Sadarjevo levo roko na klado, jo z gladkim okroglim deblom položil pod komolec, čez podlaket položil železno palico za sajenje fižola in mimogrede poskrbel, da je Sadar res trdno stisnil klobaso med zobe, nato pa se je brez kakršnega koli predhodnega opozorila hitro obesil, sunkovit in z vso močjo na drog. Vogaršek je zelo lepo in taktično opravil.","<pad> Medtem ko je govoril, je Vogaršek položil Sadarjevo levico na tna"
378,Čez pet tednov je bil mladi Sadar spet pri Vogaršku.,Pet tednov kasneje se je mladi Sadar vrnil z Vogarškom.,<pad> Čez pet tednov je bil mladi Sadar spet pri Vogaršku.</s>
379,"V drugo si nemški župan ni dal tako na hitro vzeti pripravljenega domoljubnega nagovora, zato je hotel na svoje oči videti tisti kraj, kjer je mladi Sadar že drugič isto pomlad padel s kozolca: »Saj si tudi ti s kozolca padel kakor vsi, a ne,« je rekel in mladi Sadar je hvaležno prikimal.","V drugi, nemški župan ni imel patriotski govor pripravljen tako hitro, tako da je želel videti sam kraj, kjer mladi Sadar padel s kozolca že drugič v istem spomladi: ""Padel si kozolec kot vsi ostali, vendar ne,"" je dejal, in mladi Sadar je hvaležno prikimal.","<pad> V drugo si nemški župan ni dal tako na hitro vzeti pripravljenega domoljubnega nagovora,"
380,"Sadarjev veliki dvojni kozolec je imel kakor vsi v dolini čvrst pod iz debelih plohov. Davno takrat, ko so ga bili postavili, so položili plohe lepo drugega poleg drugega, pozneje pa se je rabil pri hiši kak ploh zdaj tu, zdaj tam, in ker se po en sam ploh ne splača na žago, so ga tudi pri Sadarju, kakor pač povsod v dolini, vzeli s kozolca. Tako so nastale med plohi na podu špranje, dovolj ozke, da ni seno padalo skoznje, pa dovolj široke, da bi lahko padel skoznje neroden človek. Seveda ni nikomur prišlo na misel, da bi padel s kozolca, ker je vsakdo natanko vedel, kje manjka kak ploh, pa tudi kdaj je bil vzet s poda in za kakšno potrebo.","Sadar je velik dvojni kozolec, kot vsi ostali v dolini, je imel trdno tla iz debele prhe. Dolgo nazaj, ko je bil postavljen, so bile deske položene drug poleg drugega, kasneje pa je bil dež v hiši zdaj, zdaj tam, in ker en list ni vreden žage, so ga vzeli tudi iz kozolca na Sadarju, kot povsod v dolini. Tako so se med listi na tleh oblikovale razpoke, ki so bile dovolj ozke, da se je seno ne bi padlo skozi njo, vendar dovolj široke, da bi neroden človek padel skozi njo. Seveda, nihče ni mislil, da bo padel iz kozolca, ker so vsi vedeli, kje točno je bilo stanovanje, ampak tudi tisto, kar je bilo potrebno in kakšna tla so bila potrebna.",<pad> Sadarjev veliki dvojni kozolec je imel čvrst pod iz debelih plohov. Da
381,"»Vidite, vzel sem dol ploh za nov podboj pri hlevskih vratih naš fant pa je stopil prav tja. Ni ga bilo zraven, ko sem dol jemal, pa si ni zapomnil te luknje.«","""glej, sem na tleh za nov okvir na vratih skednja in naš fant hodil prav tam. ni bil tam, ko sem dol, vendar se ni spomnil to luknjo.""","<pad> ""Vidite, vzel sem dol ploh za nov podboj pri hlevskih vratih naš fant"
382,»Na koga pa streljajo?« je vprašal Repovž.,"""Na koga streljajo?"" je vprašal Repovž.","<pad> ""Na koga pa streljajo?"" je vprašal Repovž.</s>"
383,"»Aha,« je prikimal Repovž, »to je zdaj po tvoje zadnja bitka.«","""Oh,"" je prikimal, ""To je tvoja zadnja bitka zdaj.""","<pad> ""Aha,"" je rekel Repovž, ""to je zdaj po tvoje zadnja bitka"
384,"»Sem že poslal sporočilo v mesto.« Kotečnik je to povedal brez barve, mrzlo, skoraj sovražno nejevoljno.","""v mesto sem že poslala sporočilo."" novinar je rekel, da je brezbarvno, hladno, skoraj odvratno.","<pad> ""Sem že poslal sporočilo v mesto."" Kotečnik je to povedal brez barve, mrz"
385,"»Tristo obupanih belih boš ti zadrževal deset minut, Kotečnik, si ponorel?«","""tristo obupanih belcev boš zadržal za deset minut, Kotečnik, se ti je zmešalo?""","<pad> ""Tristo obupanih belih boš zadrževal deset minut, Kotečnik, si ponorel"
386,Repovž je ostal sam pri Kotečnikovih fantih. Dolina jo je udrla h glavni cesti.,"Repovž je ostal sam s Kotečnikovimi fanti, dolina pa jo je odrinila na glavno cesto.",<pad> Repovž je ostal sam pri Kotečniku.</s>
387,"Med vaščani ob cesti je stal dolgi Hugo. Nekdo je preplašenemu domobranu, ki si kajpak ni upal upirati, snel s hrbta malo kmečko harmoniko in se z njo v rokah prerival proti Hugu: »Hugo, poglej, kar dobra je še, daj, zaigraj!« Ampak Hugo ni imel časa zanj. V koloni voz je bil tudi enovprežnik z veliko pleteno košaro, v kakršnih ponekod na Hrvaškem vozijo krompir, gnoj, buče ali kar že. Toda vojska zna vsako kmečko pripravo odtujiti svojemu namenu in uporabiti za kaj čisto drugega: vrbova košara je bila zvrhano naložena s svetlečimi se instrumenti, očitno z vso opremo cele godbe. Hugo je opazil med instrumenti veliko črno škatlo značilnih in znanih oblik. Prerinil se je do voza, vzel tisto škatlo iz kupa rumene pločevine in pomignil zelenemu možičku na vozu, ki ga je vprašujoče gledal, naj le pelje naprej. Nakar je pobožno odprl škatlo, oči so mu zasijale in obraz mu je presvetlil zasanjan nasmeh: iz škatle je počasi, skrbno in ljubeče potegnil veliko harmoniko s sto dvajsetimi basi in celo vrsto registrov. Vaščani okrog njega so se razmaknili, da si jo je lahko nadel, in zaigral je tak vrtinec hitrih visokih akordov, napol marš napol polko, da so dolinci nehote, ne da bi sami vedeli kdaj, začeli vriskati kot da se peljejo svatje čez vas, med vriskanje pa so se pomešali klici, svoboda, svoboda, živela svoboda.","Dolgo Hugo je stal med vaščani ob cesti. Nekdo je vzel majhno kmečko harmoniko s hrbta in se z njo v rokah boril proti Hugu: ""Hugo, poglej, še vedno je dobro, igra"" Toda Hugo ni imel časa za to. V koloni za prevoz je bil Hugo tudi uniforma z veliko pleteno košaro, na nekaterih mestih na Hrvaškem vozijo krompir, gnoj, bučo ali že. Toda vojska ve, kako vsako kmečko pripravo odtujiti svojemu namenu in jo uporabiti za nekaj povsem drugega. Hugo je med instrumenti opazil veliko črno škatlo značilnih in znanih oblik. Je sam potisnil na voziček, vzel to polje iz kupa rumene pločevine in pomignil, da zelenega človeka v voziček, ki ga je gledal vprašujoče, Naj ga samo voziti naprej. Nato pobožno odprl škatlo, njegove oči žarela, in njegov obraz je bil osvetljen z nasmehom počasi, skrbno in ljubeče potegnil iz škatle veliko harmoniko s sto dvajset basi in celotno vrsto registrov. Vaščani preselil okoli njega, da ga dajo na njega in je igral tako vrtinec hitro visoko:, pol marca pol pol pol pol pol polka, da doline nehote, ne da bi kdaj, začel kričati, kot smo zavpili svobodo, in svoboda, in klici so bili mešani med vami, klice.",<pad> Med vaščani ob cesti je stal dolgi Hugo. Nekdo je na hrbtu malo kmečko harmoni
388,"»Hvala, tovariš.«","""Hvala, tovariš.""","<pad> ""Hvala, tovariš.""</s>"
389,"»Da ste stali ob strani pa gledali, kdo koga mlati.«","""Da si stal zraven in gledal, kdo pretepa koga.""","<pad> ""Da ste stali ob strani pa gledali, kdo koga mlati.""</s>"
390,»Saj je mogoče bolje tako. Samo težave bi ti delali.«,"""Morda bi bilo bolje tako; povzročilo bi vam samo težave.""","<pad> ""Saj je mogoče bolje, samo težave bi ti delali.""</s>"
391,"Črnogorec je vzdignil roki: »Le obdrži, saj ni treba, da se zato jeziš! Tudi jaz nimam ničesar proti tem fantom. Mislil sem samo spomenik razrednemu sovražniku...«","Črnogorec je dvignil roke: ""Kar obdrži, ni se ti treba jeziti zaradi tega! tudi proti tem fantom nimam nič, mislil sem samo spomenik razrednemu sovražniku...""","<pad> Črnogorec je vzdignil roki: ""Le obdrži, saj ni treba, da"
392,"»Dobro, domenjeno, zdaj pa gremo, tu smo opravili.«","""v redu, se ukvarjajo, pojdimo, smo končali tukaj.""","<pad> ""Dobro, domenjeno, zdaj pa gremo, tu smo opravili.""</s>"
393,"Kako se je Sovinc potem, ko je bila nevarnost mimo, izkopal iz gnojnice, ni podrobno razložil. Tudi ni bilo treba, ker so mu vsi na prvo besedo verjeli, da ni bilo lahko zlesti iz žehteče mehke gnojne jame, kjer se človek nima oprijeti ničesar drugega kot rjave ostude, v kateri tiči. Ko je nato stal sredi dvorišča, globoko nezadovoljen s svojo podobo, se mu je ponudilo kot primeren izhod v lepšo prihodnost Sadarjevo mogočno korito, dolgo in široko, da so lahko pri njem hkrati napajali dva para konj, ne da bi živali druga drugi kalile vodo. Povaljal se je v polnem koritu in se dobro opral, tak, kakršen se je bil tudi umazal, namreč z obleko vred. Bistra voda je imela največ zaslug za to, da se mu je jeza na Sadarja ohladila in se spremenila v manj krvoločno, zato pa bolj koristno željo po odškodnini za prestani strah in za prizadejano škodo.","Ni mu bilo treba podrobno razlagati, kako so se Sovjeti izkopali iz gnoja, ko je bila nevarnost mimo, ker so vsi verjeli, da ni bilo lahko priti iz vlažne mehke gnojne jame, kjer se človek ni mogel oprijeti ničesar drugega kot rjavega noja, v katerem se je skrival. Ko je potem stal sredi dvorišča, globoko nezadovoljen s svojo podobo, so mu ponudili primerno pot v boljšo prihodnost Sadarjevega mogočnega korita, dolgega in širokega, da bi lahko hkrati pili dva para konj, ne da bi druge živali kalile vodo. Sam se je zavil v polno korito in se dobro umil, kot je bil tudi s svojimi umazanimi oblačili. Bistra je imel največ svoje želje po odškodnini in zato je bila jeza za poškodbe konja manj koristna.","<pad> Kako se je Sovinc po tem, ko je bila nevarnost mimo, izkopal iz gno"
394,"Nakar sta Sovinčevka, ki je pozdravila moža z »ja, Sovinc, kaj pa delaš, a si pijan,« in Sadarica, ko sta malo pozno ugotovili konec preplaha, odpahnili hlevska vrata in prišli na dvorišče, poslušali naslednji Sovinčev govor: »Sovinčevka, ti tiho bodi. Sadarica, ti pa poslušaj. Sadar mi je pred nosom zaprl vrata, potem ko sta me tudi vidve pustili zunaj, samega v nesreči. Nisem se imel skrit nikamor drugam kot v gnoj. Če sem se že umazal v Sadarjevem gnoju, sem se pa še za silo očedil v njegovem koritu. Ampak, če se pogledam, tole pranje v koritu ni dosti pomagalo, obleka je uničena. Misliš, da mi jo bo Sadar povrnil? Do smrti ne, mogoče mi v oporoki zapusti kake cunje. Na to pa ne bi čakal. Tako se mi zdi, da se bom moral sam ozret za odškodnino. To bi bilo prvo. Drugo pa, vidiš, Sadarica, kaže, da so nenadoma nastopili časi, ko bo nekaterih reči v izobilju in preveč, kakor drugih za noben denar ni in jih še nekaj časa ne bo. V takih časih blago, ki ga je preveč, izgubi ceno. Konj, postavimo, je nenadoma vreden samo še pol teleta, za kako mulo ti pa nihče več niti skrhane kose ne da. Zato, če malo preračunam, tale kotel, vzidaš ga v svinjsko kuhinjo ali ga celo preurediš za žganjekuho, mogoče celo to, ja, žival pa le toliko, da kotla ne vlečeš samotež domov, ja, kot pravim, če malo preračunam, bo tale reč z mulo vred komaj zadostna odškodnina za mojo obleko. Ja, komaj zadostna. Sovinčevka, gremo!«","Nakar, Sovinčevka, ki je pozdravila moža z ""da, Sovinc, kaj pa ti počneš, če pa si pijan "", in Sadarica, ko sta malo pozno ugotovila konec strašenja, odvila vrata hleva in prišla na dvorišče, je prisluhnila naslednjemu Sovinčevemu govoru"" Sovinčeva ženska, utihnila. Sadarica, poslušaj me. Sadar mi je zaprl vrata pred nosom, potem ko sta me tudi vidva pustila zunaj, sama v nesreči. Nisem se mogla skriti nikjer drugje kot v gnoju. Če sem se umazala v Sadarjevem gnoju, sem se za silo očistila tudi v njegovem umivalniku. Ampak, če pogledam na to, pranje v umivalniku ni veliko, obleka je uničena. Misliš, da mi bo Sadar vrnil? Ne, dokler ne umre, morda mi pusti nekaj cunj v svoji oporoki. Ne čakam na to. Torej, mislim, da bom moral iskati odškodnino. To bi bilo prvo. Druga, vidiš Sadarica, kaže, da so nenadoma časi, ko bodo nekatere stvari v izobilju in preveč, kot drugi brez denarja, in ne bodo nekaj časa. V takih časih blago, ki je preveč, izgubi ceno. Konj je nenadoma vreden le pol teleta, vendar vam nihče ne daje niti zdrobljen kos za kakšno mulo. Zato, če sem izračunati malo, ta kotel jo gradijo v moji kuhinji svinjine ali celo preurediti za to žganje, morda celo dovolj jajce, vendar konj bo le doma, če si potegnite malo nadomestilo za stvar. Ja, komaj dovolj. Sovincevka, pojdimo ""","<pad> Nakar sta Sovinčeva žena, ki je pozdravila moža z ""ja, Sovin"
395,"Sovinčevka je hitreje spregledala položaj. »Kje je vaš, nas nič ne briga, kakšen je naš, si sama videla, če pa vprašuješ, čigavo je to, je od zdajle naprej naše,« je spotoma povedala in izginila za Sovincem z dvorišča.","""kjer je tvoje, nam je vseeno kaj je naše, sami ste to videli, ampak če vprašate kdo je, je naše od zdaj naprej,"" je rekla ob poti in izginila za Sovo na dvorišču.","<pad> Sovinčeva je hitreje spregledala položaj. ""Kje je vaš, nas nič ne briga"
396,"Ker so to res že slišali, so ga zdravniki in sestre naglo ubogali, Jumbovi fantje pa so medtem tudi že razumeli, za kaj gre: brez besed so si naložili polomljenega tovariša, ki se mu je obraz razlezel v hvaležen nasmeh, in ga odnesli ven v svoje vozilo.","Ker so to že slišali, so ga zdravniki in medicinske sestre hitro ubogali, medtem pa so Jumbosi razumeli, za kaj gre: Brez besede so naložili zlomljenega tovariša, čigar obraz se je iztegnil v hvaležnem nasmehu, in ga odnesli ven v svoje vozilo.","<pad> Ker so to res slišali, so zdravniki in sestre hitro ubogali, Jumbovi fantje pa"
397,"»Ampak, tovariš partizan, poslušajte, moral bi dva tedna ležat popolnoma pri miru...«","""toda, tovariš Partizan, poslušajte, dva tedna bi moral ležati čisto pri miru.""","<pad> ""Ampak, tovariš partizan, poslušajte, da bi dva tedna ležala popolnoma"
398,"»Ja,« je rekel Mrakov Francek, najmlajši med njimi in edini poleg Jurija prav iz te vasi doma, »bodo pač domači počakali še to noč. Potihem v graščino, pogledamo, ali so Nemci pustili kaj slame, pa razgrnemo odeje. Jutri pa...«","""Da,"" je dejal Mrakov Franček, najmlajši med njimi in edini poleg Jurija iz te vasi doma, ""bodo domačini počakali do tiste noči. Tiho v dvorec, poglejte, če so Nemci pustili kakšno slamo, in razgrnite odeje.","<pad> ""Ja,"" je rekel Mrakov Francek, najmlajši med njimi in edini med njimi, ki"
399,"»Jutri bomo pa že še videli,« je suho odrezal Jumbo.","""o tem bomo videli jutri,"" je prerezal luknjo.","<pad> ""Jutri bomo videli,"" je suho odrezal Jumbo.</s>"
400,"Na trgu med cerkvijo in graščino je bila zbrana vsa dolina. Nad množico so se zibale table z napisi živela svoboda, živeli naši partizani, zdravo, tovariši. Nekaj ljudi je nosilo nekakšne doma narejene bakle, ki so močno smrdele in se kadile, gorele so pa le. Množici je bilo videti, da je že dolgo čakala: bila je nekako utišane in vdane, vendar ne slabe volje, kakor poln železniški peron ljudi, čakajočih na svečani vlak, ki mu zamuda nekako pritiče in mu je ne moreš zameriti, ker ga zbrani čakajo z radovoljno in radovedno privrženostjo. ","Celotna dolina je bila zbrana na trgu med cerkvijo in graščino. Nad množico table živel svoboda, naši partizani živel, zdravo, tovariši. Nekaj ljudi je bilo izvajanje neke vrste domačih bakel, ki je smrdelo in dimljeno slabo, vendar so bili na ogenj. Množica je zdelo, da so čakali za dolgo časa. To je bil nekako utišan in zvest, vendar ne v slabo voljo, kot železniški progi, polni ljudi, ki čakajo na slovesen vlak, ki nekako pride k njemu in ga ne morete kriviti, ker so čakali na njega z veselo in radovedno spoštovanje.",<pad> Na trgu med cerkvijo in graščino je bila zbrana vsa dolina. Nad množico so se zi
401,"S tem pa je Jumbova desetina spotoma in mimogrede opravljala še eno nalogo, ki tudi čaka vsako oblast po vsaki vojni: ljudi je streznila. Pomirila jih je in jih začela navajati na življenje ne več po vojnih, temveč po civilnih običajih.","Vzdolž poti, Jumb je deseti opravil še eno nalogo, ki čaka vsako vlado po vsaki vojni: je hlinila ljudi, jih pacifying in jih uporablja za življenje, ne več z vojno, ampak po civilnih običajih.","<pad> S tem pa je Jumbova desetina opravila še eno nalogo, ki čaka vsako oblast po"
402,"Poštar ni nosil več samo vpoklicev in osmrtnic, temveč znova tudi povsem navadna pisma. Na njih so bile znamke in pečati v latinici in cirilici. Ljudje so po tem dobili občutek, da živijo v razsežni državi, ki ima na svojem čisto drugem in čisto drugačnem koncu enake postave kot tod, ker imajo tam enako velike in enako v latinici in cirilici pisane poštne pečate.","Poštar ni več nosil le pozivov in osmrtnic, temveč tudi navadne črke z žigi in pečati v latinici in cirilici, kar je ljudem dajalo vtis, da živijo v veliki državi z enako višino na zelo drugačnem koncu, ker so imeli poštne žige v latinici in cirilici enake velikosti.","<pad> Poštar ni nosil več samo vpoklicev in osmrtnic, ampak tudi povsem"
403,"»Ja,« je prikimal Kolbezen, »saj visijo že tri mesece.«","""da,"" je prikimal Kolbezen, ""visela sta tri mesece.""","<pad> ""Ja,"" je prikimal Kolbezen, ""saj visijo že tri mesece."""
404,»A polnih tudi?«,"In tudi poln tega? ""","<pad> ""A polnih?""</s>"
405,"»Da sva ga?« se je začudil Kolbezen. »Saj sva pa tudi jedla vmes. A veš, da se ti je salama odlično držala tu gori,« in je odčepil novo pletenko in jo nagnil za dolg požirek. »A veš kaj, tale tvoj je pa res...« je rekel, ko je spet prišel k sapi.","""To smo storili?"" se je spraševal Kolbezen. ""Vendar smo vmes tudi jedli. Ali veste, da se vam je salama tu zgoraj popolnoma prilepila,"" in je zmečkal novo plenico in jo obrnil navzdol za dolg požirek. ""Veste kaj, ta je res..."" je rekel, ko je spet prišel do sape.","<pad> ""Da sva ga?"" se je začudil Kolbezen. ""A veš kaj, tale"
406,"»Saj imaš prav,« ga je miril Kramer, »no, pa gremo, v božjem imenu. Zlezi gor, Kolbezen.«","""prav imaš,"" Kramer ga je pomiril, ""dobro, pojdimo, v božjem imenu.","<pad> ""Saj imaš prav,"" ga je miril Kramer, ""no, pa gremo, v"
407,"»Bom,« je rekel Kolbezen, premaknil se pa ni.","""bom "", je rekel Kolbezen, vendar se ni premaknil.","<pad> ""Bom,"" je rekel Kolbezen, ""Bom,"" je rekel Kolbezen"
408,"»Ti bi se vzdignil kolikor moreš, jaz pa bi se oprl od zadaj z ramenom.«","""Ti bi se dvignila tako visoko, kot si lahko, in jaz bi pusto od zadaj s svojo ramo.""","<pad> ""Ti bi se vzdignil kolikor moreš, jaz pa bi se oprl od zadaj z"
409,"Kramer se je tako zasopel, da je moral odnehati s prerokovanjem.","Kramer je postal tako brez sape, da je moral opustiti prerokovanje.","<pad> Kramer se je tako zasopel, da je moral odnehati s prerokovanjem."
410,"Dolina je spala, konj je ubiral lagoden počasni korak in Kramer je enakomerno tolkel z glavo po pločevinastem dnu mesnega korita, ding dong, ding dong, dokler ga to naposled ni prebudilo. Vzdignil se je, sedel in otresal zmedeno glavo. Ko sta pripeljala na vas in pred graščino, je že toliko sestavil preteklost s sedanjostjo, da je zlezel po kolenih do kozla, segel čez naslonjalo in vzel Kolbeznu vajeti iz rok. Ustavil je konja in začel urejati težave, v katere se mu je zdelo, da sta zabredla.","Dolina je spal, konj je lagodno počasen korak, in Kramer vztrajno premagal glavo navzdol kositra - kovinsko dno mesno korito, ding dong, ding dong, dokler ga je končno zbudil. Vstal je, sedel in stresel svojo zmedeno glavo. Ko so se odpeljali na vas in pred graščino, je imel že sestavljen svojo preteklost s sedanjostjo toliko, da je splezal na kolena do koze, segel čez naslonjalo in vzel vajeti Kolbezen je iz roke. Ustavil je konja in začel reševati težave, za katere je menil, da so zašle v.","<pad> Dolina je spala, konj je ubiral lagoden počasni korak in Kramer"
411,"»No, vidiš,« se je zadovoljno strinjal Kramer.","""torej, vidiš,"" Kramer se je strinjal z zadovoljstvom.","<pad> ""No, vidiš, vidiš,"" se je strinjal Kramer, ki je zadovoljen, da je"
412,»Kaj sem ga pokozlal?« se je stresel Kramer.,"""Kaj sem mu storil?"" je stresel Kramer.","<pad> ""Kaj sem ga pokozlal?"" se je stresel Kramer.</s>"
413,"»Seveda. A si bil tako pijan, da se ne spomniš?«","""Seveda."" si bil tako pijan, da se ne spomniš? ""","<pad> ""Seveda. A si bil pijan, da se ne spomniš?""</s>"
414,"»Prav, kar se mene tiče, ga nisva videla,« je tedaj Kolbezen naposled doumel smisel tega pogovora.","""no, kar se mene tiče, ga nismo videli "", je Kolbezen končno dojel pomen pogovora.","<pad> ""Prav, kar se tiče mene, ga nisva videla,"" je dejal Kolbezen.</s>"
415,"»Ja, saj sva zmenjena, da ga nisva videla! A si se premislil?«","""ja, strinjala sva se, da ga nisva videla, ampak si si premislila?""","<pad> ""Ja, saj sva zmenjena, da ga nisva videla! A si se premislil"
416,»Seveda ne.«,"""Seveda ne.""","<pad> ""Ne vem.""</s>"
417,"Po dolini je vršalo skoraj bolj kot takrat, ko je prišla svoboda.","Dolina je bila skoraj tako natrpana kot takrat, ko je prišla svoboda.","<pad> Po dolini je vršalo skoraj bolj kot takrat, ko je prišla svoboda.</s>"
418,"Vse za elektrifikacijo na treh vozovih zapored. Parola ni imela pravega učinka, ker v vsej dolini ni bilo spodobne hiše brez elektrike, že v hlevih so jo imeli skoraj vsi.","Vse za elektrifikacijo na treh vagonov zapored, Parola ni imel pravega učinka, ker ni bilo dostojno hišo v celotni dolini brez elektrike, in skoraj vsakdo je imel v hlevih.","<pad> Vse za elektrifikacijo na treh vozovih zapored. Parola ni imela pravega učinka, ker"
419,Največ sveta otrokom sliši Slave! Voz s to kulturno-umetniško parolo so si izbrali cerkveni pevci in harmonikar Hugo.,Največ sveta sliši otrokom Slave Voz s tem kulturno-umetniškim sloganom so si izbrali cerkveni pevci in harmonikar! Hugo.,<pad> Največ sveta otrokom sliši Slave! Voz s to kulturno-umetniško parolo so
